game_time,job_ID,company_from,city_from,company_to,city_to,urgency,shortest_distance_km,ferry_time,ferry_price,cargo,company_truck,trailer_variant,trailer_definition,units_count,fill_ratio,trailer_place
69261,_nameless.183.4601.b450,artemia,chios,eolo_lines,sangiovanni,1,931,1110,1585,used_plast,iveco_4x2_a,trailer.scs_curt_a,trailer_def.scs.box.single_3.curtain,33,1,0
69261,_nameless.183.4601.9d90,eolo_lines,athens,icaria,mitilini,0,11,675,1308,froz_octopi,iveco_h_4x2_a,trailer.scs_ref_a,trailer_def.scs.box.single_3.reefer,33,1,0
69261,_nameless.183.4601.9090,eolo_lines,athens,fallow,timisoara,1,1307,0,0,protec_cloth,mercedes_6x2_b,trailer.kasbhr_sbt,trailer_def.kassbohrer.sbt.single_3_13.dryvan,34,1,0
69261,_nameless.183.4601.a4e0,eolo_lines,athens,kaarfor,pitesti,1,1237,0,0,yogurt,man_4x2_a,trailer.scs_ins_a,trailer_def.scs.box.single_3.insulated,33,1,0
69261,_nameless.183.4601.9e60,eolo_lines,athens,exomar,taranto,2,620,570,745,tableware,daf_xf_euro6_4x2_a,trailer.scs_dry_a,trailer_def.scs.box.single_3.dryvan,33,1,0
69261,_nameless.183.4601.8530,artemia,chania,tras_med,roma,0,1046,1110,1571,used_packag,daf_xf_euro6_4x2_b,trailer.kasbhr_scs,trailer_def.kassbohrer.scs.single_3_13.curtain,34,1,0
69261,_nameless.183.4601.8ef0,artemia,chania,fallow,vlore,1,887,540,826,used_plast,scania_streamline_4x2_norm_380,trailer.scs_dry,trailer_def.scs.box.single_3.dryvan,33,1,0
69261,_nameless.183.4601.ad00,artemia,argostoli,exomar,olbia,0,510,1900,2384,used_plast,scania_r2016_4x2_high_500,trailer.kasbhr_scs,trailer_def.kassbohrer.scs.single_3_13.curtain,34,1,0
69261,_nameless.183.4601.9300,marina,kalamata,marina,ancona,0,1068,570,745,lux_yacht,daf_xgp_4x2_530,trailer.kasbhr_sla,trailer_def.kassbohrer.sla.single_3_sh.lowbed,1,1,0
69261,_nameless.183.4601.8ae0,marina,kalamata,marina,ancona,0,1068,570,745,yacht,scania_s2016_4x2_high_590,trailer.scs_lowbed_4,trailer_def.scs.lowbed.single_4_sh.short,1,1,0
69261,_nameless.183.4601.9f30,artemia,rhodes,brawen,lamia,2,222,810,1889,used_packag,daf_xgp25_4x2_530,trailer.scs_curt,trailer_def.scs.box.single_3.curtain,33,1,0
69261,_nameless.183.4601.9160,artemia,rhodes,subse,edirne,1,979,810,1889,empty_palet,mercedes_actros_2014_4x2_b,trailer.scs_dry,trailer_def.scs.box.single_3.dryvan,33,1,0
69261,_nameless.183.4601.98b0,low_field,argostoli,te_logistica,parma,0,798,1060,1505,onion,man_tgx_euro6_4x2_xl,trailer.kasbhr_scs,trailer_def.kassbohrer.scs.single_3_13.curtain,34,1,0
69261,_nameless.183.4601.9230,low_field,argostoli,fallow,zenica,1,1206,490,760,kr_vpv190xc,renault_premium_4x2_c,trailer.scs_lowbed_4,trailer_def.scs.lowbed.single_4_sh.short,1,1,0
69261,_nameless.183.4601.af70,low_field,argostoli,cesare_smar,pescara,2,348,1060,1505,apples_c,mercedes_actros_2014_6x2_a,trailer.kasbhr_shg40,trailer_def.kassbohrer.shg.singl_3e_40.container,30,1,0
69261,_nameless.183.4601.add0,low_field,argostoli,villco,skopje,1,660,490,760,rye,renault_magnum_6x2_a,trailer.ffb_kip60,trailer_def.feldbinder.kip.single_3_60.silo_60_3p,33,1,0
69261,_nameless.183.4601.a340,artemia,mitilini,shuttle,vlore,0,761,730,1440,empty_palet,daf_xgp_4x2_530,trailer.scs_curt_a,trailer_def.scs.box.single_3.curtain,33,1,0
69261,_nameless.183.4601.94a0,artemia,mitilini,eolo_lines,porto_vecchi,0,1210,2295,3287,used_plast,volvo_fh2024_4x2_420,trailer.profiliner17,trailer_def.krone.profiliner.single_3.curtain,33,1,0
69261,_nameless.183.4601.a000,low_field,mitilini,shuttle,novi_sad,1,857,730,1440,barley,renault_premium_6x4_a,trailer.scs_silo,trailer_def.scs.silo.single_3_10.silo,30,1,0
69261,_nameless.183.4601.8460,low_field,mitilini,tm_istanbul,istanbul,0,486,730,1440,kr_stc1370,volvo_fh16_6x4_700,trailer.scs_lowlow2e,trailer_def.scs.lowloader.single_2_ln.long,1,1,0
69261,_nameless.183.4601.8120,low_field,mitilini,balkan_loco,pleven,1,598,730,1440,oranges,scania_streamline_4x2_top_560,trailer.coolliner17,trailer_def.krone.coolliner.single_3.reefer,33,1,0
69261,_nameless.183.4601.9640,low_field,mitilini,kaarfor,ostrava,0,1546,730,1440,garlic,scania_r_6x4_top_620,trailer.profiliner17,trailer_def.krone.profiliner.single_3.curtain,33,1,0
69261,_nameless.183.4601.9710,low_field,mitilini,te_logistica,firenze,1,1259,1245,2053,onion,daf_xf_euro6_6x4_c,trailer.scs_curt_a,trailer_def.scs.box.single_3.curtain,33,1,0
